cnum,instructor,cname,hours,rating
2760,"PROCACCIA, VERA",LAB METHODS COMP BIO,10.0,4.0
2761,"KANGAS, JOSHUA",LAB METHODS AUTBIO I,9.58,4.755
2762,"KANGAS, JOSHUA",LAB METHDS AUTBIO II,10.5,4.835
2763,"KANGAS, JOSHUA",AUTO SCI CAPSTONE I,11.75,4.75
2764,"KANGAS, JOSHUA",AUT SCI CAP II,6.5,5.0
3101,"BRASIER, DANIEL",BSC FIRST YEAR SEMNR,3.5,4.375
3101,"HO, CHIEN",BSC FIRST YEAR SEMNR,4.4,4.5
3115,"AFFARA, NESRINE",PHAGE GENOMICS RSRCH,7.0,4.33
3115,"JARVIK, JONATHAN",PHAGE GENOMICS RSRCH,5.0,4.94
3115,"MCGUIER, NATALIE",PHAGE GENOMICS RSRCH,5.0,4.94
3115,"VINCENT, ANNETTE",PHAGE GENOMICS RSRCH,6.0,4.415
3116,"ILYIN, VALENTIN",PHAGE GENOMICS RSRCH,5.976666666666667,3.856666666666667
3116,"LOPEZ, ANTONIO-JAVIER",PHAGE GENOMICS RSRCH,5.335,4.8100000000000005
3116,"MCGUIER, NATALIE",PHAGE GENOMICS RSRCH,5.335,4.82
3117,"BACHU, RAVICHANDRA",DISCOVERY IN BIO SCI,6.625,4.404999999999999
3117,"DOONAN, CARRIE",DISCOVERY IN BIO SCI,5.725,4.675
3117,"DOONAN, LYNLEY",DISCOVERY IN BIO SCI,5.63125,4.60125
3117,"DRILL, EMILY",DISCOVERY IN BIO SCI,5.91875,4.685
3117,"MCGUIER, NATALIE",DISCOVERY IN BIO SCI,5.63375,4.38625
3117,"VINCENT, ANNETTE",DISCOVERY IN BIO SCI,6.625,4.279999999999999
3117,"Willard, Amanda",DISCOVERY IN BIO SCI,5.67,4.918
3118,"MCGUIER, NATALIE",BEER: YEAST PERSPECT,6.47,4.243333333333333
3119,"HOVIS, KEN",DEMENTED BRAIN,6.2,4.9
3120,"BARTH, ALISON",BIO FOR LIFE MINI,4.4,5.0
3120,"BRASIER, DANIEL",BIO FOR LIFE MINI,7.1,4.555
3120,"DOONAN, LYNLEY",BIO FOR LIFE MINI,6.9,4.4350000000000005
3120,"DURAND, M",BIO FOR LIFE MINI,5.0,4.67
3120,"HILLER, NATALIA",BIO FOR LIFE MINI,3.793333333333333,4.666666666666667
3120,"HOVIS, KEN",BIO FOR LIFE MINI,4.54,4.69
3120,"MCCARTNEY, BROOKE",BIO FOR LIFE MINI,4.0649999999999995,4.75
3120,"MCGUIER, NATALIE",BIO FOR LIFE MINI,9.35,4.4
3121,"AFFARA, NESRINE",MODERN BIOLOGY,8.0,4.0
3121,"BRASIER, DANIEL",MODERN BIOLOGY,7.268000000000001,4.1579999999999995
3121,"CAMPANARO, BECKI",MODERN BIOLOGY,11.311428571428573,4.2057142857142855
3121,"JARVIK, JONATHAN",MODERN BIOLOGY,6.135,3.27
3121,"LANNI, FREDERICK",MODERN BIOLOGY,6.465,3.4233333333333333
3121,"LOPEZ, ANTONIO-JAVIER",MODERN BIOLOGY,6.890000000000001,3.71
3121,"RULE, GORDON",MODERN BIOLOGY,9.645,4.55
3121,"WONG-NOONAN, STEPHANIE",MODERN BIOLOGY,10.228125,4.32
3124,"DOONAN, CARRIE",MODERN BIOLOGY LAB,11.2,4.5840000000000005
3124,"DOONAN, LYNLEY",MODERN BIOLOGY LAB,9.53125,4.2
3124,"MCGUIER, NATALIE",MODERN BIOLOGY LAB,8.875,4.6
3125,"BOUAOUINA, MOHAMED",EVOLTN,7.051666666666667,4.111666666666667
3125,"HINMAN, VERONICA",EVOLTN,4.676,4.266
3125,"LAPERUTA, AMBER",EVOLTN,4.38,4.31
3128,"AFFARA, NESRINE",BIOLOGY FOR LIFE,8.45,4.4
3128,"CAMPANARO, BECKI",BIOLOGY FOR LIFE,5.88,4.0
3128,"VINCENT, ANNETTE",BIOLOGY FOR LIFE,8.0,5.0
3129,"AFFARA, NESRINE",HUMAN HEALTH DISEASE,7.025,4.575
3131,"RULE, GORDON",GENES DRGS & DISEAS,9.5,4.5
3132,"BOUAOUINA, MOHAMED",BAS SCI TO MOD MEDCN,8.6,4.6
3132,"MCCARTNEY, BROOKE",BAS SCI TO MOD MEDCN,9.950000000000001,4.514285714285714
3133,"BRASIER, DANIEL",NEURO OF DISEASE,11.520999999999999,4.839
3133,"WEGENER, MEREDYTH",NEURO OF DISEASE,7.31,4.5
3135,"DANTONIO, JASON",STR & FCT HUMAN BODY,5.023333333333333,4.8
3140,"LOPEZ, ANTONIO-JAVIER",ECO & ENVRNMNTL SCI,5.5,4.335
3151,"AFFARA, NESRINE",HONORS MOD BIOLOGY,10.761111111111111,4.4111111111111105
3151,"CAMPANARO, BECKI",HONORS MOD BIOLOGY,7.63,4.51
3151,"DANTONIO, JASON",HONORS MOD BIOLOGY,7.525,4.609999999999999
3151,"MCCARTNEY, BROOKE",HONORS MOD BIOLOGY,9.305,3.255
3151,"MINDEN, JONATHAN",HONORS MOD BIOLOGY,9.0,4.657500000000001
3151,"RULE, GORDON",HONORS MOD BIOLOGY,10.74375,4.44375
3161,"BARTH, ALISON",MOLECULES TO MIND,7.043333333333333,4.003333333333333
3161,"BRASIER, DANIEL",MOLECULES TO MIND,6.83,4.74
3201,"CAMPANARO, BECKI",UNDGRAD COLLQM SOPHM,2.255,3.675
3201,"LANNI, FREDERICK",UNDGRAD COLLQM SOPHM,2.0,2.88
3201,"VINCENT, ANNETTE",UNDGRAD COLLQM SOPHM,2.06,4.358
3201,"Willard, Amanda",UNDGRAD COLLQM SOPHM,2.0,4.555
3201,"YOUNIS, IHAB",UNDGRAD COLLQM SOPHM,3.0,4.5
3202,"VINCENT, ANNETTE",UNDGRAD COLLOQUM SOP,2.9375,4.0875
3202,"YOUNIS, IHAB",UNDGRAD COLLOQUM SOP,5.0,3.5
3206,"REN, CHARLIE",BIOMED ENG LAB,9.928571428571429,4.332857142857143
3206,"ZAPANTA, CONRAD",BIOMED ENG LAB,8.623333333333333,4.566666666666666
3210,"VINCENT, ANNETTE",INDEPENDENT STUDY,8.0,4.5
3220,"CARY, GREGORY",GENETICS,7.62,4.03
3220,"LOPEZ, ANTONIO-JAVIER",GENETICS,7.9275,3.69
3220,"MCMANUS, CHARLES",GENETICS,7.324,3.8980000000000006
3220,"MITCHELL, AARON",GENETICS,6.16,3.94
3220,"YOUNIS, IHAB",GENETICS,8.466666666666667,4.433333333333334
3221,"KUANG, ZHENG",QUANT. GENETICS,7.57,3.71
3221,"LOPEZ, ANTONIO-JAVIER",QUANT. GENETICS,7.6975,4.6725
3221,"WONG-NOONAN, STEPHANIE",QUANT. GENETICS,7.57,4.29
3230,"AFFARA, NESRINE",INTRO MAMMALIAN PHYS,9.41,4.574
3231,"HACKNEY, DAVID",BIOCHEMISTRY I,8.88,3.21
3231,"HACKNEY, DAVID",HONORS BIOCHEMISTRY,9.84,2.56
3231,"LEE, CHRISTINA",BIOCHEMISTRY I,8.5,4.04
3231,"LEE, CHRISTINA",HONORS BIOCHEMISTRY,9.516666666666666,3.766666666666667
3231,"RULE, GORDON",HONORS BIOCHEMISTRY,9.833333333333334,4.926666666666667
3231,"ZHAO, YONGXIN",HONORS BIOCHEMISTRY,10.14,2.52
3232,"RULE, GORDON",BIOCHEMISTRY I,9.422222222222222,4.664444444444445
3232,"WONG-NOONAN, STEPHANIE",BIOCHEMISTRY I,10.02,4.473333333333334
3240,"BOUAOUINA, MOHAMED",CELL BIOLOGY,9.898333333333333,4.658333333333333
3250,"MURPHY, ROBERT",INTR COMPTNL BIOLGY,12.684999999999999,2.83
3250,"PFENNING, ANDREAS",INTR COMPTNL BIOLGY,12.27,2.55
3250,"SCHWARTZ, RUSSELL",INTR COMPTNL BIOLGY,10.58,3.68
3252,"MURPHY, ROBERT",INT CMPTNL CL BLGY,11.0,3.0
3290,"BOUAOUINA, MOHAMED",APPLIED CELL BIOOGY,5.0,5.0
3301,"CAMPANARO, BECKI",UNDGRAD COLLQM JUNR,2.0,3.375
3301,"LANNI, FREDERICK",UNDGRAD COLLQM JUNR,2.0,4.0
3301,"Willard, Amanda",UNDGRAD COLLQM JUNR,2.0,5.0
3320,"LINSTEDT, ADAM",CELL BIOLOGY,9.764,4.068
3326,"HINMAN, VERONICA",EVLN REGLTY GENOMICS,5.0,3.5
3327,"DURAND, M",EVOL BIOINFORMATICS,5.0,4.33
3327,"DURAND, M",PHYLOGENETICS,6.5,5.0
3330,"YOUNIS, IHAB",GENETICS,11.05,3.1550000000000002
3342,"VINCENT, ANNETTE",INTRO BIO LAB PRACTC,3.5,4.5
3343,"DOONAN, CARRIE",EXP TECHN MOL BIOLGY,17.921666666666667,3.981666666666667
3343,"DRILL, EMILY",EXP TECHN MOL BIOLGY,17.89,4.076666666666667
3343,"MCGUIER, NATALIE",EXP TECHN MOL BIOLGY,16.876666666666665,4.010000000000001
3343,"VINCENT, ANNETTE",EXP TECHN MOL BIOLGY,19.455714285714286,3.3514285714285714
3344,"DOONAN, CARRIE",EXPERMNTL BIOCHEMTRY,16.516,4.3740000000000006
3344,"DOONAN, LYNLEY",EXPERMNTL BIOCHEMTRY,16.0,4.18
3344,"VINCENT, ANNETTE",EXPERMNTL BIOCHEMTRY,17.208,3.804
3345,"DRILL, EMILY",EXPER CEL DEV BIOLGY,14.335,4.609999999999999
3346,"DRILL, EMILY",EXPER NEUROSCIENCE,16.11,4.333333333333333
3350,"BOUAOUINA, MOHAMED",DEVELOPMNTL BIOLOGY,8.446666666666667,4.42
3350,"ETTENSOHN, CHARLES",DEVELOPMNTL BIOLOGY,7.5925,4.69
3355,"VINCENT, ANNETTE",STEM CELL ENGINEERNG,8.75,5.0
3360,"PFENNING, ANDREAS",GENOM EPIGEN BRN,9.575,3.675
3362,"AFFARA, NESRINE",CELLULAR NEUROSCIENC,10.666666666666666,4.71
3362,"BRASIER, DANIEL",CELLULAR NEUROSCIENC,14.17,4.33
3362,"GITTIS, ARYN",CELLULAR NEUROSCIENC,7.674000000000001,3.814
3363,"AFFARA, NESRINE",SYSTEMS NEUROSCIENCE,6.8,4.6
